지하철역ID,환승전호선ID,환승전호선,환승전열차방면,환승역,환승후호선ID,환승후호선,환승후열차방면,차량번호,출입문위치
1006000645,1006,6,응암,태릉입구,1007,7,공릉,8,4
1003000350,1003,3,오금,가락시장,1008,8,송파,2,1
1003000350,1003,3,오금,가락시장,1008,8,문정,2,1
1003000350,1003,3,대화,가락시장,1008,8,송파,9,4
1003000350,1003,3,대화,가락시장,1008,8,문정,9,4
1003000352,1003,3,오금,오금,1005,5,방이,9,4
1003000352,1003,3,오금,오금,1005,5,개롱,9,4
1004000411,1004,4,당고개,노원,1007,7,마들,10,0
1004000411,1004,4,당고개,노원,1007,7,중계,10,0
1004000411,1004,4,오이도,노원,1007,7,마들,1,0
1004000411,1004,4,오이도,노원,1007,7,중계,1,0
1004000411,1004,4,당고개,노원,1007,7,마들,10,4
1004000411,1004,4,당고개,노원,1007,7,중계,10,4
1004000411,1004,4,오이도,노원,1007,7,마들,1,1
1004000411,1004,4,오이도,노원,1007,7,중계,1,1
1004000412,1004,4,당고개,창동,1001,1,방학,3,4
1004000412,1004,4,당고개,창동,1001,1,녹천,3,4
1004000412,1004,4,오이도,창동,1001,1,방학,8,1
1004000412,1004,4,오이도,창동,1001,1,녹천,8,1
1004000421,1004,4,오이도,동대문,1001,1,동묘앞,6,1
1004000421,1004,4,오이도,동대문,1001,1,종로5가,6,1
1004000421,1004,4,당고개,동대문,1001,1,동묘앞,5,3
1004000421,1004,4,당고개,동대문,1001,1,종로5가,5,3
1004000422,1004,4,오이도,동대문역사문화공원,1005,5,을지로4가,2,3
1004000422,1004,4,오이도,동대문역사문화공원,1005,5,청구,2,3
1004000422,1004,4,당고개,동대문역사문화공원,1002,2,신당,1,1
1004000422,1004,4,당고개,동대문역사문화공원,1002,2,외선(을지로입구),1,1
1004000422,1004,4,당고개,동대문역사문화공원,1005,5,을지로4가,9,1
1004000422,1004,4,당고개,동대문역사문화공원,1005,5,청구,9,1
1004000422,1004,4,오이도,동대문역사문화공원,1002,2,신당,10,4
1004000422,1004,4,오이도,동대문역사문화공원,1002,2,외선(을지로입구),10,4
1004000423,1004,4,오이도,충무로,1003,3,을지로3가,7,1
1004000423,1004,4,오이도,충무로,1003,3,동대입구,7,1
1004000423,1004,4,당고개,충무로,1003,3,을지로3가,5,1
1004000423,1004,4,당고개,충무로,1003,3,동대입구,5,1
1004000426,1004,4,당고개,서울역,1001,1,시청,1,1
1004000426,1004,4,당고개,서울역,1001,1,남영,1,1
1004000426,1004,4,오이도,서울역,1001,1,시청,10,4
1004000426,1004,4,오이도,서울역,1001,1,남영,10,4
1004000428,1004,4,오이도,삼각지,1006,6,효창공원 앞,10,4
1004000428,1004,4,오이도,삼각지,1006,6,녹사평,10,4
1004000428,1004,4,당고개,삼각지,1006,6,효창공원 앞,1,1
1004000428,1004,4,당고개,삼각지,1006,6,녹사평,1,1
1004000431,1004,4,당고개,동작,1009,9,흑석,8,4
1004000431,1004,4,당고개,동작,1009,9,구반포,8,4
1004000431,1004,4,오이도,동작,1009,9,흑석,2,4
1004000431,1004,4,오이도,동작,1009,9,구반포,2,4
1004000432,1004,4,당고개,총신대입구,1007,7,내방,10,4
1004000432,1004,4,당고개,총신대입구,1007,7,남성,10,4
1004000432,1004,4,오이도,총신대입구,1007,7,내방,1,1
1004000432,1004,4,오이도,총신대입구,1007,7,남성,1,1
1004000433,1004,4,오이도,사당,1002,2,외선(방배),1,1
1004000433,1004,4,당고개,사당,1002,2,내선(낙성대),4,2
1004000433,1004,4,당고개,사당,1002,2,외선(방배),10,4
1004000433,1004,4,오이도,사당,1002,2,내선(낙성대),7,3
1005000512,1005,5,방화,김포공항,1009,9,공항시장,7,2
1005000512,1005,5,방화,김포공항,1009,9,개화,7,2
1005000512,1005,5,강동,김포공항,1009,9,공항시장,2,1
1005000512,1005,5,강동,김포공항,1009,9,개화,2,1
1005000518,1005,5,방화,까치산,1002,2,내선(신정네거리),1,1
1005000518,1005,5,방화,까치산,1002,2,신정네거리,1,1
1005000518,1005,5,강동,까치산,1002,2,신정네거리,7,4
1005000518,1005,5,강동,까치산,1002,2,신정네거리,7,4
1005000523,1005,5,강동,영등포구청,1002,2,내선(당산),2,3
1005000523,1005,5,강동,영등포구청,1002,2,외선(문래),2,3
1005000523,1005,5,방화,영등포구청,1002,2,내선(당산),7,2
1005000523,1005,5,방화,영등포구청,1002,2,외선(문래),7,2
1005000525,1005,5,방화,신길,1001,1,대방,7,3
1005000525,1005,5,방화,신길,1001,1,영등포,7,3
1005000525,1005,5,강동,신길,1001,1,대방,2,1
1005000525,1005,5,강동,신길,1001,1,영등포,2,1
1005000526,1005,5,강동,여의도,1009,9,국회의사당,4,1
1005000526,1005,5,강동,여의도,1009,9,샛강,4,1
1005000526,1005,5,방화,여의도,1009,9,국회의사당,5,4
1005000526,1005,5,방화,여의도,1009,9,샛강,5,4
1005000529,1005,5,방화,공덕,1006,6,대흥,1,1
1005000529,1005,5,방화,공덕,1006,6,효창공원 앞,1,1
1005000529,1005,5,강동,공덕,1006,6,대흥,8,4
1005000529,1005,5,강동,공덕,1006,6,효창공원 앞,8,4
1005000531,1005,5,방화,충정로,1002,2,시청,4,1
1005000531,1005,5,방화,충정로,1002,2,외선(아현),4,1
1005000531,1005,5,강동,충정로,1002,2,시청,5,3
1005000531,1005,5,강동,충정로,1002,2,외선(아현),5,3
1002000212,1002,2,외선(성수),건대입구,1007,7,어린이대공원,8,3
1002000212,1002,2,외선(성수),건대입구,1007,7,뚝섬유원지,8,3
1002000212,1002,2,외선(성수),건대입구,1007,7,뚝섬유원지,3,2
1002000216,1002,2,내선(선릉),잠실,1008,8,몽촌토성,10,4
1002000216,1002,2,내선(선릉),잠실,1008,8,석촌,10,4
1002000216,1002,2,외선(건대입구),잠실,1008,8,몽촌토성,1,1
1002000216,1002,2,외선(건대입구),잠실,1008,8,석촌,1,1
1002000223,1002,2,내선(사당),교대,1003,3,고속터미널,1,1
1002000223,1002,2,내선(사당),교대,1003,3,남부터미널,1,1
1002000223,1002,2,외선(강남),교대,1003,3,고속터미널,10,4
1002000223,1002,2,외선(강남),교대,1003,3,남부터미널,10,4
1002000226,1002,2,내선(대림),사당,1004,4,총신대입구,6,1
1002000226,1002,2,내선(대림),사당,1004,4,남태령,6,1
1002000226,1002,2,외선(교대),사당,1004,4,총신대입구,5,3
1002000226,1002,2,외선(교대),사당,1004,4,남태령,5,3
1002000233,1002,2,내선(신도림),대림,1007,7,신풍,7,4
1002000233,1002,2,내선(신도림),대림,1007,7,남구로,7,4
1002000233,1002,2,외선(사당),대림,1007,7,신풍,4,1
1002000233,1002,2,외선(사당),대림,1007,7,남구로,4,1
1002000234,1002,2,외선(신도림),신도림,1001,1,영등포,4,1
1002000234,1002,2,외선(신도림),신도림,1001,1,구로,4,1
1002000234,1002,2,외선(신도림),신도림,1002,2,내선(문래),4,1
1002000234,1002,2,외선(신도림),신도림,1002,2,대림,4,1
1002000234,1002,2,내선(영등포구청),신도림,1001,1,영등포,2,3
1002000234,1002,2,내선(영등포구청),신도림,1002,2,구로,2,3
1002000234,1002,2,내선(영등포구청),신도림,1002,2,내선(도림천),6,2
1002000234,1002,2,외선(대림),신도림,1002,2,외선(도림천),5,3
1002000234,1002,2,외선(대림),신도림,1001,1,영등포,7,3
1002000234,1002,2,외선(대림),신도림,1001,1,구로,7,3
1002000236,1002,2,내선(당산),영등포구청,1005,5,양평,7,4
1002000236,1002,2,내선(당산),영등포구청,1005,5,영등포시장,7,4
1002000236,1002,2,외선(신도림),영등포구청,1005,5,양평,2,3
1002000236,1002,2,외선(신도림),영등포구청,1005,5,영등포시장,2,3
1002000237,1002,2,내선(합정),당산,1009,9,국회의사당,3,4
1002000237,1002,2,내선(합정),당산,1009,9,선유도,3,4
1002000237,1002,2,외선(영등포구청),당산,1009,9,국회의사당,7,1
1002000237,1002,2,외선(영등포구청),당산,1009,9,선유도,7,1
1002000238,1002,2,내선(홍대입구),합정,1006,6,망원,9,2
1002000238,1002,2,내선(홍대입구),합정,1006,6,상수,9,2
1002000238,1002,2,외선(당산),합정,1006,6,망원,2,2
1002000238,1002,2,외선(당산),합정,1006,6,상수,2,2
1002000243,1002,2,내선(시청),충정로,1005,5,애오개,7,3
1002000243,1002,2,내선(시청),충정로,1005,5,서대문,7,3
1002000243,1002,2,외선(홍대입구),충정로,1005,5,애오개,4,2
1002000243,1002,2,외선(홍대입구),충정로,1005,5,서대문,4,2
1002002114,1002,2,외선(성수),시청,1001,1,제기동,1,1
1002002114,1002,2,외선(성수),시청,1001,1,동묘앞,1,1
1002002114,1002,2,외선(성수),시청,1001,1,제기동,1,1
1002002114,1002,2,외선(성수),시청,1001,1,동묘앞,1,1
1002002344,1002,2,내선(까치산),까치산,1005,5,화곡,1,1
1002002344,1002,2,내선(까치산),까치산,1005,5,신정,1,1
1003000321,1003,3,수서,약수,1006,6,구산,6,3
1003000321,1003,3,수서,약수,1006,6,독바위,6,3
1003000321,1003,3,대화,약수,1006,6,구산,5,1
1003000321,1003,3,대화,약수,1006,6,독바위,5,1
1003000322,1003,3,수서,약수,1006,6,독바위,10,4
1003000322,1003,3,수서,약수,1006,6,역촌,10,4
1003000322,1003,3,대화,약수,1006,6,독바위,1,1
1003000322,1003,3,대화,약수,1006,6,역촌,1,1
1003000329,1003,3,수서,종로3가,1005,5,광화문,9,2
1003000329,1003,3,수서,종로3가,1005,5,을지로4가,9,2
1003000329,1003,3,대화,종로3가,1001,1,종로5가,9,1
1003000329,1003,3,대화,종로3가,1001,1,종각,10,4
1003000329,1003,3,대화,종로3가,1005,5,광화문,2,3
1003000329,1003,3,대화,종로3가,1005,5,을지로4가,2,3
1003000329,1003,3,수서,종로3가,1001,1,종로5가,2,3
1003000329,1003,3,수서,종로3가,1001,1,종각,1,1
